/****************************************************************************
 * @file     MINI54ZDE.csv
 * @version  V1.09
 * @Date     2017/05/09-15:19:19 
 * @brief    NuMicro pin descriptions file
 * Copyright (C) 2013-2017 Nuvoton Technology Corp. All rights reserved.
*****************************************************************************/
MCU: MINI54ZDE(QFN33)
Pin,Current Multi Function
1,P1.5/AIN5
2,/RESET
3,P3.0/P3.0
4,P5.4/P5.4
5,P3.1/P3.1
6,P3.2/P3.2
7,P3.4/P3.4
8,P3.5/P3.5
9,P3.6/P3.6
10,P5.1/XTAL2
11,P5.0/XTAL1
12,VSS
13,P5.2/INT1
14,P2.2/P2.2
15,P2.3/P2.3
16,P2.4/P2.4
17,P2.5/P2.5
18,P2.6/P2.6
19,P4.6/ICE_CLK
20,P4.7/ICE_DAT
21,P0.7/P0.7
22,P0.6/P0.6
23,P0.5/P0.5
24,P0.4/P0.4
25,P0.1/P0.1
26,P0.0/P0.0
27,P5.3/P5.3
28,VDD
29,P1.0/AIN1
30,P1.2/P1.2
31,P1.3/P1.3
32,P1.4/P1.4

Pin,Description
1,P1.5/AIN5/ACMP0_P
2,/RESET
3,P3.0/ACMP1_N/AIN6
4,P5.4
5,P3.1/ACMP1_P/AIN7
6,P3.2/INT0/T0EX/STADC/ACMP1_P
7,P3.4/T0/SDA/ACMP1_P
8,P3.5/T1/SCL/ACMP1_P
9,P3.6/T1EX/CKO/ACMP0_O
10,P5.1/XTAL2
11,P5.0/XTAL1
12,VSS
13,P5.2/INT1
14,P2.2/PWM0
15,P2.3/PWM1
16,P2.4/PWM2
17,P2.5/PWM3
18,P2.6/PWM4/ACMP1_O
19,P4.6/ICE_CLK
20,P4.7/ICE_DAT
21,P0.7/SPICLK
22,P0.6/MISO
23,P0.5/MOSI
24,P0.4/SPISS/PWM5
25,P0.1/SPISS/RTSn/RX
26,P0.0/CTSn/TX
27,P5.3/AIN0
28,VDD
29,P1.0/AIN1/ACMP0_P
30,P1.2/AIN2/RX/ACMP0_P
31,P1.3/AIN3/TX/ACMP0_P
32,P1.4/AIN4/ACMP0_N
/*** (C) COPYRIGHT 2013-2017 Nuvoton Technology Corp. ***/
