Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 142800  Y 286700
X 159600  Y 304800
X 137600  Y 310400
X 317500  Y 307100
X 325100  Y 306600
X 288300  Y 294400
X 324200  Y 280000
X 299600  Y 279400
X 288300  Y 146300
X 465800  Y 145200
X 503700  Y 278600
X 465800  Y 302100
X 506200  Y 307500
X 497900  Y 307600
X 654000  Y 302000
X 659900  Y 282000
X 656900  Y 144500
X 686300  Y 279500
X 677200  Y 305300
X 685200  Y 305400
X 841900  Y 282600

Drill: .031  Tool: 2  Feed: 197  Speed: 550
X 210795  Y 257779
X 201936  Y 286638
X 191936  Y 288606
X 181936  Y 290575
X 201936  Y 292543
X 191936  Y 294512
X 181936  Y 296480
X 201936  Y 298449
X 191936  Y 300417
X 181936  Y 302386
X 201936  Y 304354
X 191936  Y 306323
X 181936  Y 308291
X 210795  Y 317150
X 232448  Y 337150
X 226543  Y 337150
X 220637  Y 337150
X 214732  Y 337150
X 224574  Y 327150
X 218669  Y 327150
X 230480  Y 327150
X 212763  Y 327150
X 216700  Y 317150
X 228511  Y 317150
X 222606  Y 317150
X 220637  Y 277779
X 226543  Y 277779
X 214732  Y 277779
X 232448  Y 277779
X 212763  Y 267779
X 218669  Y 267779
X 230480  Y 267779
X 224574  Y 267779
X 228511  Y 257779
X 222606  Y 257779
X 216700  Y 257779
X 261307  Y 286638
X 251307  Y 288606
X 241622  Y 290575
X 261307  Y 292543
X 251307  Y 294512
X 241622  Y 296480
X 261307  Y 298449
X 251307  Y 300417
X 241622  Y 302386
X 261307  Y 304354
X 251307  Y 306323
X 241307  Y 308291
X 362936  Y 308291
X 372936  Y 306323
X 382936  Y 304354
X 362936  Y 302386
X 372936  Y 300417
X 382936  Y 298449
X 362936  Y 296480
X 372936  Y 294512
X 382936  Y 292543
X 362936  Y 290575
X 372936  Y 288606
X 382936  Y 286638
X 391795  Y 257779
X 397700  Y 257779
X 403606  Y 257779
X 409511  Y 257779
X 393763  Y 267779
X 399669  Y 267779
X 405574  Y 267779
